Abdon,Abdonie
Dionizjusz,Dionizjuszu
Dionizy,Dioizy
Ditta,Ditto
Długosz,Długoszu
Dobiegniew,Dobiegniewie
Dobiemiest,Dobiemiescie
Dobiemir,Dobiemirze
Dobiesław,Dobiesławie
Dobiesława,Dobiesławo
Dobisława,Dobisławo
Dobrawa,Dobrawo
Dobrocha,Dobrocho
Dobrochna,Dobrochno
Dobrociech,Dobrociechu
Dobrogniew,Dobrogniewie
Dobrogost,Dobrogoście
Dobromierz,Dobromierzu
Dobromił,Dobromile
Dobromiła,Dobromiło
Dobromir,Dobromirze
Dobromira,Dobromiro
Dobromysł,Dobromyślu
Dobronieg,Dobroniegu
Dobroniega,Dobroniego
Dobrosław,Dobrosławie
Dobrosława,Dobrosławo
Dobrowiest,Dobrowieście
Dobrowit,Dobrowicie
DobrowÃ³j,DobrowÃ³jcie
Dobrymir,Dobrymirze
Dolores,Dolores
Domamir,Domamirze
Domarad,Domaradzie
Domarat,Domaracie
Domasław,Domasławie
Domasława,Domasławo
Domawit,Domawicie
Domicela,Domicelo
Domicjan,Domicjanie
Dominik,Dominiku
Dominika,Dominiko
Domisława,Domisławo
Domosław,Domosławie
Domosława,Domosławo
Donat,Donacie
Donata,Donato
Dorian,Dorianie
Doris,Doris
Dorota,Doroto
Dragomir,Dragomirze
Drogomił,Drogomirze
Drogomir,Drogomirze
Drogomysł,Drogomysławie
Drogosław,Drogosławie
Drogosława,Drogosławo
Duszan,Duszanie
Dymitr,Dymitrze
Dymitriusz,Dymitriuszu
Dytrych,Dytrychu
Dyzma,Dyzmo
Dziersław,Dziersławie
Dziersława,Dziersławo
Dzierżykraj,Dzierżykraju
Dzierżymir,Dzierżymirze
Dzierżysław,Dzierżysławie
Dzierżysława,Dzierżysławo
Eberhard,Eberhardzie
Edda,Eddo
Edgar,Edgardzie
Edmund,Edmundzie
Edward,Edwardzie
Edwin,Edwinie
Edyta,Edyto
Efrem,Efremie
Egbert,Egbercie
Egon,Egonie
Eleonora,Eleonoro
Eliasz,Eliaszu
Eliga,Eligo
Eligiusz,Eligiuszu
Eliza,Elizo
Elwira,Elwiro
Elżbieta,Elżbieto
Emanuel,Emanuelu
Emanuela,Emanuelo
Emerencja,Emerencjo
Emeryk,Emeryku
Emil,Emilu
Emilia,Emilio
Emilian,Emilianie
Emiliana,Emilianno
Emiliusz,Emiliuszu
Emma,Emmo
Enema,Enemo
Engelbert,Engelbercie
Enoch,Enochu
Epifan,Epifanie
Epifani,Epifanie
Epifania,Epifianno
Epifaniusz,Epifaniuszu
Erast,Eraście
Erazm,Eraźmie
Erazma,Erazmo
Erhard,Erhardzie
Ernest,Erneście
Ernesta,Ernesto
Ernestyn,Erestynie
Ernestyna,Erestyno
Erwin,Erwinie
Erwina,Erwino
Eryk,Eryku
Eryka,Eryko
Estera,Estero
Euchariusz,Euchariuszu
Eudokia,Eudokio
Eudoksja,Eudoksjo
Eudoksjusz,Eudoksjuszu
Eufemia,Eufemino
Eufrozyna,Eufrozyno
Eugenia,Eugenio
Eugeniusz,Eugeniuszu
Eulalia,Eulalio
Eulogiusz,Eulogiuszu
Eustachiusz,Eustachiuszu
Eustachy,Eustachy
Eutropiusz,Eutropiuszu
Euzebia,Euzebio
Euzebiusz,Euzebieuszu
Ewa,Ewo
Ewald,Ewaldzie
Ewaryst,Ewaryście
Ewdokia,Ewdokio
Ewelin,Ewelinie
Ewelina,Ewelino
Eweryst,Eweryście
Ezechiel,Ezechielu
Fabia,Fabio
Fabian,Fabianie
Fabiola,Fabiolo
Fabrycjan,Fabrycjanie
Fabrycy,Fabrycy
Faust,Fauście
Fausta,Faustyno
Faustyn,Faustynie
Faustyna,Faustyno
Felicja,Falicjo
Felicjan,Falicjanie
Felicjana,Falicjanno
Felicysym,Falicyśmie
Felicyta,Felicyto
Feliks,Feliksie
Ferdynand,Ferdynandzie
Festus,Festusie
Fidelis,Fidelisie
Fides,Fidesie
Filemon,Filemonie
Filip,Filipie
Filipina,Filipino
Filomena,Filomeno
Flawia,Flawio
Flawian,Flawianie
Flawiusz,Flawiuszu
Flora,Floro
Florencjusz,Florencjuszu
Florenty,Florenty
Florentyn,Florentynie
Florentyna,Florentyno
Florian,Florianie
Floryn,Florynie
Fortunat,Forunacie
Fortunata,Fortunato
Franciszek Salezy,Franciszu Salezy
Franciszek,Franciszku
Franciszka,Franciszko
Frumencjusz,Frumencjuszu
Fryda,Frydo
Fryderyk,Fryderyku
Fryderyka,Fryderyko
Frydolin,Frydolinie
Gabin,Gabinie
Gabor,Gaborze
Gabriel,Gabrielu
Gabriela,Gabrielo
Gajusz,Gajuszu
Galezy,Galezy
Gall,Gallu
Galla,Galo
Gallina,Gallino
Ganda,Gando
Gardenia,Gardenio
Gaspar,Gasparze
Gaudencja,Gaudencjo
Gaudencjusz,Gaudencjuszu
Gaudenty,Gaudenty
Gaweł,Gawle
Gawryła,Gawryło
Gebhard,Gebhardzie
Gedeon,Gedeonie
Genowefa,Genowefo
Georgia,Georgio
Georgina,Georginio
Gerald,Geraldzie
Geraldyna,Geraldyno
Gerard,Gererdzie
Gerarda,Geredo
Gerhard,Gerhardzie
German,Germanie
Germanik,Germaniku
Gertruda,Gertrudo
Gerwazy,Gerwazy
Gilbert,Gilbercie
Gilda,Gildo
Gizela,Gizelo
Glikeria,Glikerio
Gloria,Glorio
Gniewomir,Gniewomirze
Gniewosz,Gniewoszu
Goar,Goarze
Godfryd,Godfrydzie
Godzimierz,Godzimierzu
Godzimir,Godzimirze
Godzisław,Godzisławie
Godzisława,Godzisławo
Godzisz,Godziszu
Gorgoncjusz,Gorgoncjuszu
Gorzysław,Gorzysławie
Gosław,Gosławie
Gościmił,Gościmile
Gościmir,Gościmierze
Gościrad,Gościradzie
Gościsław,Gościsławie
Gościsława,Gościsławo
Gościwit,Gościwicie
Gotard,Gotardzie
Gotfryd,Gotfrydzie
Gracja,Gracjo
Gracjan,Gracjanie
Gracjana,Gracjanno
Grażyna,Grażyno
Greta,Greto
Grodzisław,Grodzisławie
Gryzelda,Gryzeldo
Grzegorz,Grzegorzu
Grzymisław,Grzymisławie
Grzymisława,Grzymisławo
Gustaw,Gustawie
Gustawa,Gustawo
Gwidon,Gwidonie
Ida,Ido
Idalia,Idalio
Idzi,Idzi
Ifigenia,Ifigenio
Iga,Igo
Ignacja,Ignacjo
Ignacy,Ignacy
Igor,Igorze
Ildefons,Ildefoncsie
Ilia,Ilio
Ilona,Ilono
Ilza,Ilzo
Imisław,Imisławie
Imisława,Imisławo
Inez,Iznez
Inga,Ingo
Ingeborga,Ingeborgo
Ingrida,Ingrido
Innocenta,Innocento
Innocenty,Innocenty
Irena,Ireno
Ireneusz,Ireneuszu
Irina,Irino
Irma,Irmo
Irmina,Irmino
Irwin,Irwinie
Iryda,Irydo
Irydion,Irydionie
Isaura,Isauro
Ismena,Ismeno
Ita,Ito
Iwa,Iwo
Iwan,Iwania
